"","id","wls_cw_sysid","cw_code","cw_name","cw_source_name","cw_source_type","pod_number","cw_legislation","cw_date_created","cw_status","organization","organization_count","organization_type","water_system_name","cw_use","source_category","source_comments","water_treatment_type","water_treatment_location","connections_count","connected_cw_name","connected_cw_pod_number","natural_resource_district","health_authority","cw_assessment_ind","cw_assessment_url","water_qlty_obj_status","water_qlty_obj_overvw_rpt_url","water_qlty_obj_tech_rpt_url","water_qlty_obj_rpt_year","water_qlty_obj_type","organization_concerns","waterworks_damage","general_comments","feature_area_sqm","feature_length_m","objectid","se_anno_cad_data","watershed_area","og_watershed_area","prot_og_watershed_area","og_percentage","prot_percentage","at_risk_area","perc_at_risk"
"1","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fbd",15,"100.046","Spring Community Watershed","Spring Creek","CR","PD42079","Forest Practices Code",1995-06-15,"DESIGNATED","Corix Utilities, Lindell Beach Resident's Association",1,"Waterworks","Lindell Beach","YES","SW","SW",NA,"NOT SPECIFIED",140,NA,NA,"Chilliwack Natural Resource District","Fraser","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Corix owns, operates and maintains the water system at Lindell Beach, providing safe drinking water and fire protection to residents and visitors to the Resort. ",339475.0973,2727.5547,75743,NA,33.9475097312696,0,0,0,0,0,0
"2","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fbc",16,"900.080","Capilano Community Watershed","Capilano River","R","PD45591","Forest Practices Code",1995-06-15,"DESIGNATED","Regional District of Metro Vancouver",1,"Waterworks","Capilano Watershed","PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",333332,"Seymour River, Capilano River","PD45615, PD45591","Chilliwack Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,"No","Capilano CW supplies about 1/3 of the drinking water to the Metro Vancouver area (about 500,000 serviced properties total for all three watersheds used).  The Capilano Reservoir, a surface water source, is situated behind the Cleveland Dam and is approximately 5.4 kilometres in length by 0.80 kilometres wide.  Palisade Reservoir is an alpine lake located upstream of the Capilano Reservoir and is used to augment flow to the Capilano Reservoir during the dry season.  Up until March 2015, chlorine was the sole primary disinfection added to the water at the intake location near the Cleveland Dam.  Now the water is pumped, via tunnel, to the Seymour-Capilano Filtration Plant in the Seymour watershed where it is treated and disinfected.  Treated water is returned, via tunnel, to the Capilano Reservoir service area and then enters the transmission system to supply the Capilano service area.",174348423.2353,65452.5367,75744,NA,17434.8423235302,7893.32119992475,3.2835456424417,45.27,0.02,7890.0376542823,45.25
"3","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fbb",17,"340.065","Hendryx Community Watershed","Hendryx Creek","CR","PD26221","Forest Practices Code",1995-06-15,"DESIGNATED","Regional District of Central Kootenay",1,"Waterworks","Riondel Water System","PRIMARY","SW","SW","Disinfection","INTAKE",202,"Indian Creek, Hendryx Creek","PD26229, PD26221","Selkirk Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,"Turbidity, organics/THMs",NA,NA,5229015.7336,12022.3509,75745,NA,522.901573356172,50.3516296727743,31.9573634147208,9.63,6.11,18.3942662580535,3.52
"4","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fba",18,"100.028","Knox Community Watershed","Knox Creek","CR","PD41483","Forest Practices Code",1995-06-15,"DESIGNATED","Yarrow Waterworks District",1,"Waterworks","Yarrow Waterworks District","PRIMARY","SW & GW (GUDI)","Surface 75%, Wells 25%, , GUDI discussion ongoing, possibly","NONE","NO TREATMENT",800,"Knox Creek, Volkert Creek","PD41480, PD41483","Chilliwack Natural Resource District","Fraser","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Intake is on Volkert but they have a diversion on Knox to Volkert",71838.085,1099.1127,75746,NA,7.18380850000046,0,0,0,0,0,0
"5","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fb9",19,"300.035","Macaulay Community Watershed","Macaulay Creek","CR","PD24478","Forest Practices Code",1996-06-15,"DESIGNATED","Regional District of the East Kootenay",1,"Waterworks","Edgewater Community Water System","PRIMARY","SW","SW","Disinfection x2","INTAKE",450,NA,NA,"Rocky Mountain Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,"Turbidity","No",NA,13832684.768,16104.3731,75747,NA,1383.26847680004,54.2460824421638,44,3.92,3.18,10.2460824421638,0.74
"6","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fb8",20,"300.038","Mads Community Watershed","Mads Brook","BR","PD28085","Forest Practices Code",1995-06-15,"DESIGNATED","Poupore Improvement District",1,"Waterworks","Poupore Improvement District","PRIMARY","SW","SW ","None","NO TREATMENT",0,NA,NA,"Selkirk Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,NA,424263.1364,3879.6063,75748,NA,42.426313637528,0,0,0,0,0,0
"7","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fb7",21,"128.034","Wiseman Community Watershed","Wiseman Creek","GW","PD52893","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Lakeside Trailer Park Ltd.",0,"None","Lakeside Trailer Park Water System","OTHER SOURCE","GW","GW","Disinfection","WELL",14,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"The trailer park now uses a groundwater source instead and it only uses it seasonally.",5292839.6826,10779.0628,75749,NA,529.283968256395,43.4063562280422,0,8.2,0,43.4063562280422,8.2
"8","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fb6",22,"930.037","Charters Community Watershed","Charters River","OCW","PD32434","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Capital Regional District",0,"None",NA,"OTHER SOURCE","SW (Other CW)","Not in use","NA","NA",0,NA,NA,"South Island Natural Resource District","Vancouver Island","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,NA,19265187.6838,20811.9548,75750,NA,1926.51876838099,2.18015895779915,2.18015895779841,0.11,0.11,7.45181694128405e-13,0
"9","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fb5",23,"930.015","Mckelvie Community Watershed","McKelvie Creek","CR","PD29615","Forest Practices Code",1995-06-15,"DESIGNATED","Village of Tahsis",1,"Waterworks",NA,"PRIMARY","SW","SW",NA,"NA",1000,NA,NA,"Campbell River Natural Resource District","Vancouver Island","No",NA,"Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_report_mckelvie.pdf","http://www.env.gov.bc.ca/wat/wq/mckelvie-creek/mckelvie-tech.pdf",2007,"MOE Report",NA,"No","Information on system obtained from: http://www.tahsisbc.com/profile/municipal-info.html",21111735.3531,21531.3721,75751,NA,2111.17353531441,983.83269842914,110,46.6,5.21,873.83269842914,41.39
"10","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fb4",24,"340.002","Anderson Community Watershed","Anderson Creek","CR","PD27524","Forest Practices Code",1995-06-15,"DESIGNATED","City of Nelson",1,"Waterworks","City of Nelson Water System","PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",3900,"Anderson Creek, Bird Creek, Five Mile Creek, Selous Creek ","PD27524, PD28247, PD27761, PD27432","Selkirk Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,"Turbidity","No",NA,13086883.475,14108.268,75752,NA,1308.68834749976,0,0,0,0,0,0
